case_number,claimant,respondents,status,NO.,YEAR OF INITIATION,SHORT CASE NAME,FULL CASE NAME,APPLICABLE IIA,ARBITRAL RULES,ADMINISTERING INSTITUTION,STATUS/OUTCOME OF ORIGINAL PROCEEDINGS,RESPONDENT STATE,HOME STATE OF INVESTOR,ECONOMIC SECTOR,ECONOMIC SUBSECTOR,SUMMARY OF THE DISPUTE, DETAILS OF INVESTMENT,ARBITRATORS,DECISIONS,INDIVIDUAL OPINIONS DETAILS,AMOUNT CLAIMED (EXPRESSED IN MILLIONS),AMOUNT AWARDED (OR SETTLED FOR) (EXPRESSED IN MILLIONS),IIA BREACHES ALLEGED,IIA BREACHES FOUND,FOLLOW-ON PROCEEDING TYPE,FOLLOW-ON PROCEEDING STATUS,FOLLOW-ON DECISIONS,FOLLOW-ON INDIVIDUAL OPINIONS,ICSID ANNULMENT COMMITTEE MEMBERS,LINK TO ITALAW'S CASE PAGE,LINKS TO BACKGROUND SOURCES
2020-36,,,,124.0,2020.0,GPIX v. India,GPIX LLC v. The Republic of India (PCA Case No. 2020-36),India - Mauritius BIT (1998),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,India,Mauritius,Tertiary - H - Transportation and storage,52 - Warehousing and support activities for transportation,,,"Jones, D. - President; Blanch, J. - Claimant; Sikri, A. K. - Respondent",,No decisions recorded,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/256/;
https://www.iareporter.com/arbitration-cases/gpix-v-india/;
https://globalarbitrationreview.com/india-fights-airport-services-claim"
2020-21,,,,149.0,2020.0,Patel v. Mozambique,Patel Engineering Limited v. The Republic of Mozambique (PCA Case No. 2020-21),India - Mozambique BIT (2009),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Mozambique,India,Tertiary - F - Construction,42 - Civil engineering,Claims arising out of the decision of the Transport and Communications Ministry to conduct a public tender for a concession allegedly promised to the claimant under a 2011 memorandum of interest between the ministry and the claimant; the concession was subsequently awarded to a third party.,Investments in a project to construct a railway line and develop a new port at the Zambezia coast through a planned public-private partnership.,"Fernández-Armesto, J. - President; Tawil, G. S. - Claimant; Perezcano Diaz, H. - Respondent",,No decisions recorded,115.00 USD,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/8517 ,"https://pca-cpa.org/en/cases/257/ ;
https://www.iareporter.com/arbitration-cases/patel-engineering-v-mozambique/;
 https://globalarbitrationreview.com/mozambique-faces-rail-and-mining-disputes"
2020-15,,,,157.0,2020.0,Raiffeisen Bank v. Croatia (II),Raiffeisen Bank International AG and Raiffeien Bank Austria d.d. v. Republic of Croatia (II) (PCA Case No. 2020-15),Austria - Croatia BIT (1997),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Croatia,Austria,Tertiary - K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",Claims arising out of the Government’s takeover and restructuring in the form of a “extraordinary administration” of Agrokor Group.,,"Greenwood, C. - President; Hanotiau, B. - Claimant; Murphy, S. D. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/arbitration-cases/raiffeissen-bank-international-ag-and-raiffeisen-bank-austria-d-d-v-croatia/;
https://www.iareporter.com/articles/downfall-of-croatias-largest-company-triggers-two-new-investment-treaty-based-claims-against-the-state/;
https://globalarbitrationreview.com/article/1215902/collapse-of-agribusiness-group-triggers-claims-against-croatia;
https://pca-cpa.org/en/cases/262/"
2020-53,,,,163.0,2020.0,Sukyas v. Romania (I),Jak Sukyas v. Romania (I) (PCA Case No. 2020-53),Romania - United States of America BIT (1992),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Romania,United States of America,Tertiary - J - Information and communication,"59 - Motion picture, video and television programme production, sound recording and music publishing activities","Claims arising out of the Government’s alleged failure to restitute assets in Cinegrafia Română (CIRO Films), a film company held by the claimants’ family members before its seizure by the communist regime in 1948.","Ownership rights in Cinegrafia Română’s (CIRO Films) assets, real estate and business.",Data not available,Data not available,Data not available,100.00 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://globalarbitrationreview.com/article/1215632/romania-faces-claim-over-communist-era-expropriation;
https://www.iareporter.com/articles/romania-is-hit-with-another-treaty-based-arbitration-arising-out-of-its-regime-for-restitution-of-assets-abusively-taken-during-the-communist-era/;
https://www.iareporter.com/arbitration-cases/jak-sukyas-and-edward-sukyas-v-romania/"
2020-54,,,,164.0,2020.0,Sukyas v. Romania (II),Edward Sukyas v. Romania (II) (PCA Case No. 2020-54),Canada - Romania BIT (2009),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Romania,Canada,Tertiary - J - Information and communication,"59 - Motion picture, video and television programme production, sound recording and music publishing activities","Claims arising out of the Government’s alleged failure to restitute assets in Cinegrafia Română (CIRO Films), a film company held by the claimants’ family members before its seizure by the communist regime in 1948.","Ownership rights in Cinegrafia Română’s (CIRO Films) assets, real estate and business.",Data not available,Data not available,Data not available,100.00 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://globalarbitrationreview.com/article/1215632/romania-faces-claim-over-communist-era-expropriation;
https://www.iareporter.com/articles/romania-is-hit-with-another-treaty-based-arbitration-arising-out-of-its-regime-for-restitution-of-assets-abusively-taken-during-the-communist-era/;
https://www.iareporter.com/arbitration-cases/jak-sukyas-and-edward-sukyas-v-romania/"
2020-50,,,,168.0,2020.0,Webuild v. Dominican Republic,Webuild S.p.A (Salini Impregilo S.p.A) v. Dominican Republic (PCA Case No. 2020-50),Dominican Republic - Italy BIT (2006),SCC (Stockholm Chamber of Commerce),PCA (Permanent Court of Arbitration),Pending,Dominican Republic,Italy,Tertiary - F - Construction,42 - Civil engineering,,,"Kalicki, J. E. - President; Name not available - Claimant; Name not available - Respondent",Data not available,Data not available,28.80 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,https://www.iareporter.com/arbitration-cases/webuild-v-dominican-republic/
2021-05,,,,172.0,2020.0,Zurich v. Bolivia,Zurich Insurance Company Ltd & Zurich South America Invest AB v. Plurinational State of Bolivia (PCA Case No. 2021-05),"Bolivia, Plurinational State of - Switzerland BIT (1987)",UNCITRAL,PCA (Permanent Court of Arbitration),Pending,"Bolivia, Plurinational State of",Switzerland,Tertiary - K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the planned transfer of pension fund administration from Futuro de Bolivia to a public entity, following the 2010 enactment of a law that nationalized the country’s pension fund sector.","Majority shareholding in Futuro de Bolivia S.A., a pension fund administrator.","Perezcano Diaz, H. - President; Cairns, D. J. A. - Claimant; Sornarajah, M. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/263/;
https://www.iareporter.com/arbitration-cases/zurich-insurance-v-bolivia/;
https://globalarbitrationreview.com/insurer-pursues-treaty-claim-against-bolivia-over-pension-reforms;
https://ciarglobal.com/el-arbitraje-zurich-vs-bolivia-en-la-cpa-y-bajo-reglas-uncitral/"
2020-19,,,,173.0,2019.0,Aecon v. Ecuador,Aecon Construction Group Inc. v. The Republic of Ecuador (PCA Case No. 2020-19),Canada - Ecuador BIT (1996),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Ecuador,Canada,Tertiary - F - Construction,41 - Construction of buildings,Claims arising out of the tax authority’s alleged denial of certain tax exemptions to the claimant related to an airport construction project undertaken by the Quiport consortium in which the claimant had participated.,"Shareholding of 45.5% in Corporación Quiport S.A. (Quiport), an international consortium holding a concession for the construction of the new international airport in Quito.","Malinvaud, C. - President; Tawil, G. S. - Claimant; Dupuy, P.-M. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/254/;
https://www.iareporter.com/arbitration-cases/aecon-v-ecuador/;
 https://www.iareporter.com/articles/ecuador-faces-treaty-based-claims-over-tax-assessment-tribunal-already-in-place/;
https://globalarbitrationreview.com/airport-investor-brings-tax-claim-against-ecuador"
2020-08,,,,174.0,2019.0,Akgun Insaat v. Ethiopia,Akgun Insaat Makina Sanayii ve Dis Ticaret Ltd. Sti. v. Federal Democratic Republic of Ethiopia (PCA Case No. 2020-08),Ethiopia - Turkey BIT (2000),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Ethiopia,Türkiye,Tertiary - F - Construction,41 - Construction of buildings,,,"Hwang, M. - President; Williams, D. A. R. - Claimant; McConnaughay, P. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/277/;
https://www.iareporter.com/articles/ethiopia-is-facing-previously-undisclosed-treaty-arbitration-with-a-tribunal-already-in-place/;
https://globalarbitrationreview.com/article/turkish-construction-company-pursues-claim-against-ethiopia"
2020-04,,,,176.0,2019.0,Aljarallah v. Turkey,Waleed Aljarallah v. Republic of Turkey and TMSF (PCA Case No. 2020-04),Kuwait - Turkey BIT (2010),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Türkiye,Kuwait,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"47 - Retail trade, except of motor vehicles and motorcycles","Claims arising out of the alleged non-payment of profit shares to the claimant and his removal from the Board of Directors of Aydinli Hazir Giyim, following the company’s placing under the trusteeship of the Savings Deposit Insurance Fund (SDIF) of Turkey.","Shareholding of 4% in Aydinli Hazir Giyim Sanayi ve Ticaret A.Ş., a clothing company.",Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/arbitration-cases/waleed-aljarallah-v-turkey/;
https://www.iareporter.com/articles/turkey-round-up-istanbul-canal-project-prompts-political-debate-focusing-on-potential-arbitration-claims-an-arbitration-nearing-an-end-and-an-update-on-various-other-arbitration-related-development/;
https://www.iareporter.com/articles/turkey-is-facing-under-the-radar-uncitral-arbitration/"
2020-01,,,,179.0,2019.0,Azucarera del Guadalfeo and Martín v. Dominican Republic,Azucarera del Guadalfeo S.A. and Joaquín Francisco Martín Montero v. Dominican Republic (PCA Case No. 2020-01),Dominican Republic - Spain BIT (1995),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Dominican Republic,Spain,Secondary - C - Manufacturing,10 - Manufacture of food products,Claims arising out of the State Sugar Council’s alleged illegal take-over of sugar production facilities operated by the claimants’ local subsidiary based on a lease agreement with the State Sugar Council.,"Ownership of local subsidiary Azucarera Porvenir, S. R. L., which operated the Porvenir sugar mill in San Pedro de Macorís.","Júdice, J. M. - President; Hierro, A. - Claimant; Malintoppi, L. - Respondent",Data not available,Data not available,46.80 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/234/;
https://www.iareporter.com/articles/three-are-in-place-to-hear-uncitral-claim-over-dominican-sugar-venture-with-jose-miguel-judice-sitting-as-chair/;
https://globalarbitrationreview.com/article/1214627/dominican-sugar-venture-triggers-pca-claim"
2019-40,,,,182.0,2019.0,Castillo v. Panama,Leopoldo Castillo Bozo v. Republic of Panama (PCA Case No. 2019-40),Dominican Republic - Panama BIT (2003),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Panama,Dominican Republic,Tertiary - K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the alleged forced liquidation of the insurance company Seguros BBA, in which the claimant held a stake, ordered by the regulatory authority for the insurance industry (Superintendencia de Seguros y Reaseguros de Panamá) in 2018.","Shareholding in Seguros BBA, Corp., an insurance company based in Panama.","Álvarez Avila, G. - President (replaced); Barahona Israel, R. - Claimant; Bottini, G. - Respondent; Villanúa Gómez, D. - President",Data not available,Data not available,10.00 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/230/;
https://globalarbitrationreview.com/article/1211765/panels-in-place-for-pca-claims-against-interpol-and-panama;
https://www.iareporter.com/articles/dominican-shareholder-in-local-insurance-company-initiates-treaty-based-arbitration-against-panama-over-forced-liquidation-proceedings/;
https://www.iareporter.com/arbitration-cases/leopoldo-castillo-bozo-v-panama/;
https://ciarglobal.com/aseguradora-bba-reclama-10m-en-arbitraje-internacional-contra-panama/"
2019-25,,,,183.0,2019.0,Chevron v. Philippines,Chevron Overseas Finance GmbH v. The Republic of the Philippines (PCA Case No. 2019-25),Philippines - Switzerland BIT (1997),UNCITRAL,PCA (Permanent Court of Arbitration),Discontinued for unknown reasons,Philippines,Switzerland,Primary - B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,,45% interest in the Malampaya consortium that operates the Malampaya Deepwater Gas-to-Power Project.,"van den Berg, A. J. - President; Alexandrov, S. A. - Claimant; Mourre, A. - Respondent",Award dated 6 October 2020 ,,Data not available,Data not available,Data not available,Not applicable - settled or discontinued before decision on liability,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/223/;
 https://globalarbitrationreview.com/article/1209252/pca-hears-chevron%E2%80%99s-treaty-claim-against-philippines;
https://globalarbitrationreview.com/chevron-drops-treaty-claim-against-philippines;
https://www.iareporter.com/articles/arbitration-against-philippines-concludes-after-investor-sells-stake-in-offshore-gas-field/"
2020-05,,,,186.0,2019.0,Dangelas and others v. Viet Nam,"Maya Dangelas (Dang Thi Hoang Yen), U.S. Global Institute Inc. and Angels Company Inc. v. Socialist Republic of Viet Nam (PCA Case No. 2020-05)",US - Viet Nam Trade Relations Agreement (2000),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Viet Nam,United States of America,Tertiary - F - Construction,42 - Civil engineering,,Investments in the Kien Luong Thermal Complex Power Project.,"Shore, L. - President; Brekoulakis, S. - Claimant; Lowe, V. - Respondent",Decision on Jurisdiction dated 10 December 2021 ,,2750.00 USD,Data not available,"National treatment;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Full protection and security, or similar;
Arbitrary, unreasonable and/or discriminatory measures;
Indirect expropriation",Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9591,https://www.iareporter.com/articles/vietnam-faces-two-new-cases-under-its-trade-agreement-with-the-us-as-another-arbitration-under-the-treaty-proceeds-to-the-next-stage/
2019-49,,,,187.0,2019.0,Diamante Trading and others v. Venezuela,Diamante Trading Investments Ltd. and others v. Bolivarian Republic of Venezuela (PCA Case No. 2019-49),"Barbados - Venezuela, Bolivarian Republic of BIT (1994);
Spain - Venezuela, Bolivarian Republic of BIT (1995)",UNCITRAL,PCA (Permanent Court of Arbitration),Pending,"Venezuela, Bolivarian Republic of","Barbados;
Spain",Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"46 - Wholesale trade, except of motor vehicles and motorcycles",Claims arising out of the Government’s alleged expropriatory measures related to the claimants’ investments in the food sector.,"Interests in Herrera, C.A.","Fernández Arroyo, D. P. - President; Martínez de Hoz, J. A. - Claimant; Ferrari, F. - Respondent",Data not available,Data not available,100.00 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/arbitration-cases/diamante-trading-and-others-v-venezuela/;
https://www.iareporter.com/articles/diego-fernandez-arroyo-tapped-to-chair-new-treaty-based-uncitral-arbitration/"
2019-27,,,,189.0,2019.0,Dream House and others v. Egypt,"Robert Rogers, Ronald Rogers and Dream House v. Arab Republic of Egypt (PCA Case No. 2019-27)",Egypt - Netherlands BIT (1996),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Egypt,Netherlands,Data not available,Data not available,,,Data not available,Award dated 16 March 2021 ,,1.90 USD,Data not available,Data not available,Data not available,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/arbitration-cases/dream-house-v-egypt/;
https://globalarbitrationreview.com/egypt-defeats-claims-over-suspected-airline-bombing;
https://www.transnational-dispute-management.com/legal-and-regulatory-detail.asp?key=28187"
