case_number,claimant,respondents,status,NO.,YEAR OF INITIATION,SHORT CASE NAME,FULL CASE NAME,APPLICABLE IIA,ARBITRAL RULES,ADMINISTERING INSTITUTION,STATUS/OUTCOME OF ORIGINAL PROCEEDINGS,RESPONDENT STATE,HOME STATE OF INVESTOR,ECONOMIC SECTOR,ECONOMIC SUBSECTOR,SUMMARY OF THE DISPUTE, DETAILS OF INVESTMENT,ARBITRATORS,DECISIONS,INDIVIDUAL OPINIONS DETAILS,AMOUNT CLAIMED (EXPRESSED IN MILLIONS),AMOUNT AWARDED (OR SETTLED FOR) (EXPRESSED IN MILLIONS),IIA BREACHES ALLEGED,IIA BREACHES FOUND,FOLLOW-ON PROCEEDING TYPE,FOLLOW-ON PROCEEDING STATUS,FOLLOW-ON DECISIONS,FOLLOW-ON INDIVIDUAL OPINIONS,ICSID ANNULMENT COMMITTEE MEMBERS,LINK TO ITALAW'S CASE PAGE,LINKS TO BACKGROUND SOURCES
ARB/22/8,GMS Ventures and Investment Holdings Co. LLC/Jordan (Exempt) and GMS Ventures and Investments Holdings Company – Jordan (Free Zones),Republic of Iraq,Pending,11.0,2022.0,GMS Ventures v. Iraq,GMS Ventures and Investment Holdings Co. LLC/Jordan (Exempt) and GMS Ventures and Investments Holdings Company – Jordan (Free Zones) v. Republic of Iraq (ICSID Case No. ARB/22/8),Jordan - Iraq BIT (2013),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Iraq,Jordan,Secondary - C - Manufacturing,21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,,Investments in a pharmaceutical enterprise.,"Kaufmann-Kohler, G. - President; Nolan, M. D. - Claimant; Sands, P. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9348,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/8 ;
https://www.iareporter.com/arbitration-cases/gms-ventures-et-al-v-iraq/"
ARB/22/6,"Consolidated Water Coöperatief, U.A.",United Mexican States,Pending,7.0,2022.0,Consolidated Water v. Mexico,"Consolidated Water Coöperatief, U.A. v. United Mexican States (ICSID Case No. ARB/22/6)",Mexico - Netherlands BIT (1998),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Mexico,Netherlands,"Tertiary - E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply","Claims arising out of Mexican state entities’ termination of a public-private partnership agreement with the claimant’s subsidiary, Aguas de Rosarito, related to the development of a seawater desalination plant.","Investments through local subsidiaries, N.S.C. Agua, S.A. de C.V. and Aguas de Rosarito, S.A.P.I. de C.V., in a seawater desalination plant project in Playas de Rosarito, Mexico.",Data not available,Data not available,Data not available,57.60 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9347,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/6;
https://www.iareporter.com/arbitration-cases/consolidated-water-v-mexico/"
ARB/22/5,Samson Wu,Republic of Panama,Concluded,23.0,2022.0,Wu v. Panama,Samson Wu v. Republic of Panama (ICSID Case No. ARB/22/5),Panama - United States of America BIT (1982),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Panama,United States of America,"Tertiary - E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply",,,"Torterola, I. - President; Gonzalez de Cossio, F. - Claimant; Paitan Contreras, C. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9346,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/5;
https://www.iareporter.com/arbitration-cases/samson-wu-v-panama/ "
ARB(AF)/22/3,"Fábrica de Vidrio Los Andes, C.A. and Owens-Illinois de Venezuela, C.A.",Bolivarian Republic of Venezuela,Pending,10.0,2022.0,Fábrica de Vidrio v. Venezuela (II),"Fábrica de Vidrio Los Andes, C.A. and Owens-Illinois de Venezuela, C.A. v. Bolivarian Republic of Venezuela (II) (ICSID Case No. ARB(AF)/22/3)","Netherlands - Venezuela, Bolivarian Republic of BIT (1991)",ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Pending,"Venezuela, Bolivarian Republic of",Netherlands,Secondary - C - Manufacturing,23 - Manufacture of other non-metallic mineral products,,Investments in a glass production enterprise.,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/22/3;
https://www.iareporter.com/arbitration-cases/fabrica-de-vidrios-and-owens-illinois-v-venezuela-2/ "
ARB/22/3,"Corporación Nacional del Cobre de Chile, Exploraciones Mineras Andinas S.A. and Inversiones Copperfield SPA",Republic of Ecuador,Pending,5.0,2022.0,Codelco and others v. Ecuador,"Corporación Nacional del Cobre de Chile, Exploraciones Mineras Andinas S.A. and Inversiones Copperfield SPA v. Republic of Ecuador (ICSID Case No. ARB/22/3)",Chile - Ecuador BIT (1993),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Ecuador,Chile,Primary - B - Mining and quarrying,7 - Mining of metal ores,Claims arising out of the alleged failure of state-owned mining company Enami EP to comply with mining cooperation agreements that were concluded with the claimant Codelco (Corporación Nacional del Cobre de Chile).,"Investments in the Llurimagua copper mining project, in the province of Imbabura.","Martínez de Hoz, J. A. - Claimant; Name not available - President; Name not available - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9344 ,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/3 ;
https://www.iareporter.com/arbitration-cases/corporacion-nacional-del-cobre-de-chile-et-al-v-ecuador/ ;
https://web.archive.org/web/20221207093648/https://www.codelco.com/prensa/2021/codelco-inicia-arbitraje-ante-el-ciadi-en-relacion-con-el-proyecto"
ARB(AF)/22/2,SGO Corporation Limited,Bolivarian Republic of Venezuela,Pending,20.0,2022.0,SGO v. Venezuela,SGO Corporation Limited v. Bolivarian Republic of Venezuela (ICSID Case No. ARB(AF)/22/2),"United Kingdom - Venezuela, Bolivarian Republic of BIT (1995)",ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Pending,"Venezuela, Bolivarian Republic of",United Kingdom,Tertiary - J - Information and communication,"62 - Computer programming, consultancy and related activities",,"Investments in Smartmatic, an election technology enterprise.","Rooney, J. H. - Claimant; Vinuesa, R. E. - Respondent; Name not available - President",Data not available,Data not available,1500.00 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/22/2;
https://www.iareporter.com/articles/electronic-voting-system-company-lodges-treaty-claim-against-venezuela/;
https://globalarbitrationreview.com/article/venezuela-faces-treaty-claim-over-alleged-electoral-fraud"
ARB/22/2,"Huawei Technologies Co., Ltd.",Kingdom of Sweden,Pending,13.0,2022.0,Huawei v. Sweden,"Huawei Technologies Co., Ltd. v. Kingdom of Sweden (ICSID Case No. ARB/22/2)",China - Sweden BIT (1982),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Sweden,China,Tertiary - J - Information and communication,61 - Telecommunications,"Claims arising out of the alleged exclusion of Huawei Sweden from participation in an auction conducted by the national telecommunications regulator concerning licences for the Swedish 5G Network. According to the claimant, the mandatory requirements for auction participants included a prohibition to use any equipment or services from Huawei for 5G networks and phase out those in use for existing 3G and 4G networks by 2025.","Indirect shareholding in Huawei Technologies Sweden AB (“Huawei Sweden”) through a wholly-owned subsidiary, Huawei Technologies Coöperatief U.A.","Kaufmann-Kohler, G. - President; Willems, J. - Claimant; Douglas, Z. - Respondent",Data not available,Data not available,5200.00 SEK (568.90 USD),Data not available,"National treatment;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Indirect expropriation",Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9128,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/2 ;
https://www.iareporter.com/arbitration-cases/huawei-v-sweden/ ;
https://globalarbitrationreview.com/article/huawei-brings-icsid-claim-against-sweden-over-5g-ban"
ARB(AF)/22/1,"Sargeant Petroleum, LLC",Dominican Republic,Pending,19.0,2022.0,Sargeant Petroleum v. Dominican Republic,"Sargeant Petroleum, LLC v. Dominican Republic (ICSID Case No. ARB(AF)/22/1)",CAFTA - DR (2004),ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Pending,Dominican Republic,United States of America,Secondary - C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Investments in a cement production enterprise.,"Kaufmann-Kohler, G. - President; Haigh, D. - Claimant; Mourre, A. - Respondent",Data not available,Data not available,88.30 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/22/1;
https://www.iareporter.com/arbitration-cases/sargeant-petroleum-v-dominican-republic/;
https://globalarbitrationreview.com/article/cement-investor-brings-claim-against-dominican-republic"
ARB/22/1,Louis Claude Norland Suzor and SBEC Systems Limited,Republic of Senegal,Pending,21.0,2022.0,Suzor and SBEC v. Senegal,Louis Claude Norland Suzor and SBEC Systems Limited v. Republic of Senegal (ICSID Case No. ARB/22/1),Mauritius - Senegal BIT (2002),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Senegal,Mauritius,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,"Shareholding in Compagnie d’Electricité du Sénégal (CES), which operates the Sendou coal power plant in Bargny, Senegal.","Bjorklund, A. K. - President; Drymer, S. L. - Claimant; Alexandrov, S. A. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9343 ,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/1 ;
https://www.iareporter.com/arbitration-cases/louis-suzor-sbec-systems-v-senegal/ ;
https://globalarbitrationreview.com/senegal-faces-new-icsid-claim"
ARB/21/66,Christopher Jock Murdoch MacKenzie,Hungary,Pending,61.0,2021.0,MacKenzie v. Hungary,Christopher Jock Murdoch MacKenzie v. Hungary (ICSID Case No. ARB/21/66),Hungary - United Kingdom BIT (1987),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Hungary,United Kingdom,"Tertiary - E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery",,,"Hosking, J. - President; Schill, S. - Claimant; Khan, M. A. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/21/66;
https://www.iareporter.com/arbitration-cases/christopher-jock-murdoch-mackenzie-v-hungary/;
https://www.iareporter.com/articles/hungary-is-facing-bit-claim-by-british-waste-management-investor/"
ARB/21/65,Enagás Internacional S.L.U.,Republic of Peru,Pending,37.0,2021.0,Enagás v. Peru (II),Enagás Internacional S.L.U. v. Republic of Peru (II) (ICSID Case No. ARB/21/65),Peru - Spain BIT (1994),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Peru,Spain,Primary - B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/21/65;
https://www.iareporter.com/arbitration-cases/enagas-v-peru-2/;
https://www.iareporter.com/articles/spanish-gas-company-lodges-second-icsid-claim-against-peru/;
https://ciarglobal.com/segundo-arbitraje-de-inversiones-de-enagas-contra-peru-en-ciadi/"
ARB/21/63,TC Energy Corporation and TransCanada Pipelines Limited,United States of America,Pending,85.0,2021.0,TC Energy and TransCanada v. USA (II),TC Energy Corporation and TransCanada Pipelines Limited v. United States of America (II) (ICSID Case No. ARB/21/63),"NAFTA (1992);
USMCA (2018)",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,United States of America,Canada,"Tertiary - H - Transportation and storage;
Tertiary - F - Construction","49 - Land transport and transport via pipelines;
42 - Civil engineering",,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/21/63;
https://www.iareporter.com/arbitration-cases/tc-energy-transcanada-v-usa-2/;
https://globalarbitrationreview.com/climate-change/pipeline-investor-launches-mega-claim-against-us"
ARB/21/61,"Enel, S.p.A.",Republic of Türkiye,Pending,38.0,2021.0,Enel v. Turkey,"Enel, S.p.A. v. Republic of Turkey (ICSID Case No. ARB/21/61)",Italy - Turkey BIT (1995),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Türkiye,Italy,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/21/61;
https://globalarbitrationreview.com/construction/turkey-and-peru-face-icsid-claims;
https://www.iareporter.com/arbitration-cases/enel-v-turkey/"
ARB/21/60,VINCI Highways SAS and VINCI Concessions SAS,Republic of Peru,Pending,92.0,2021.0,VINCI v. Peru,VINCI Highways SAS and VINCI Concessions SAS v. Republic of Peru (ICSID Case No. ARB/21/60),France - Peru BIT (1993),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Peru,France,Tertiary - F - Construction,42 - Civil engineering,,,"Crook, J. R. - President; Grigera Naón, H. A. - Claimant; Legum, B. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/21/60;
https://globalarbitrationreview.com/construction/turkey-and-peru-face-icsid-claims;
https://www.iareporter.com/articles/french-highway-concessionaires-embroiled-in-dispute-with-lima-lodge-treaty-arbitration-against-peru/;
https://www.iareporter.com/arbitration-cases/vinci-highways-v-peru/"
ARB/21/59,Grupo Energía Bogotá S.A. E.S.P. and Transportadora de Energía de Centroamérica S.A.,Republic of Guatemala,Concluded,46.0,2021.0,GEB and Trecsa v. Guatemala (II),Grupo Energía Bogotá S.A. E.S.P. and Transportadora de Energía de Centroamérica S.A. v. Republic of Guatemala (II) (ICSID Case No. ARB/21/59),"Colombia, El Salvador, Guatemala and Honduras FTA (2007)",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Guatemala,Colombia,"Tertiary - D - Electricity, gas, steam and air conditioning supply;
Tertiary - F - Construction","35 - Electricity, gas, steam and air conditioning supply;
42 - Civil engineering",,,"Siqueiros, E. - President; Mourre, A. - Claimant; Ramírez Hernández, R. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/21/59;
https://www.iareporter.com/arbitration-cases/grupo-energia-bogota-and-transportadora-de-energia-de-centroamerica-v-guatemala-2/;
https://globalarbitrationreview.com/energy-distributor-launches-second-guatemala-claim"
